trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'e': 0.7088005038109104, 'a': 0.9}",20,0,-48.44869456791279,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
88,False,"{'e': 0.7024232023643763, 'a': 0.9}",25,0,-55.73980938809584,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
89,False,"{'e': 0.6959890050224996, 'a': 0.9}",30,18,-30.175304169738922,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
90,False,"{'e': 0.689498432951747, 'a': 0.9}",25,13,-54.34003488768772,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
91,False,"{'e': 0.6829520118849075, 'a': 0.9}",20,0,-108.32142344336256,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
92,False,"{'e': 0.6763502720785085, 'a': 0.9}",20,0,-66.45940338245421,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
93,False,"{'e': 0.6696937482698645, 'a': 0.9}",20,13,5.244184554312342,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.6629829796337647, 'a': 0.9}",25,0,-149.8136357959406,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
95,False,"{'e': 0.6562185097387997, 'a': 0.9}",20,0,-76.22357336717141,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
96,False,"{'e': 0.6494008865033322, 'a': 0.9}",35,19,-30.844585943640446,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 0}",1
97,False,"{'e': 0.6425306621511171, 'a': 0.9}",25,0,-153.21083782865907,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
98,False,"{'e': 0.6356083931665703, 'a': 0.9}",20,0,-34.53380524661722,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
99,False,"{'e': 0.6286346402496948, 'a': 0.9}",30,0,-162.5305105825042,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
100,False,"{'e': 0.6216099682706644, 'a': 0.9}",20,5,22.436640728751893,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'e': 0.6145349462240683, 'a': 0.9}",20,0,-37.773029634299256,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
102,False,"{'e': 0.6074101471828243, 'a': 0.9}",30,18,-78.89620557735532,"{0: 6, 1: 3, 2: 1, 3: 1, 4: 1}",1
103,False,"{'e': 0.6002361482517589, 'a': 0.9}",25,4,-137.82530443750719,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 3}",1
104,False,"{'e': 0.5930135305208633, 'a': 0.9}",20,0,-41.798073518127346,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
105,False,"{'e': 0.585742879018225, 'a': 0.9}",20,0,-55.24981137008676,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
106,False,"{'e': 0.57842478266264, 'a': 0.9}",20,12,-33.0096481729427,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
107,False,"{'e': 0.5710598342159124, 'a': 0.9}",20,0,-47.63072937748524,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
108,False,"{'e': 0.5636486302348394, 'a': 0.9}",25,15,-63.918393925869715,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
109,False,"{'e': 0.5561917710228913, 'a': 0.9}",20,5,-55.176832122466124,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
110,False,"{'e': 0.5486898605815875, 'a': 0.9}",30,20,16.403170247829816,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'e': 0.541143506561572, 'a': 0.9}",25,12,-5.661829632185135,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'e': 0.5335533202133944, 'a': 0.9}",20,0,-84.3208441335951,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
113,False,"{'e': 0.525919916337999, 'a': 0.9}",30,0,-85.94429218352082,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
114,False,"{'e': 0.5182439132369261, 'a': 0.9}",25,7,-33.28698834541265,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
115,False,"{'e': 0.5105259326622303, 'a': 0.9}",30,1,-108.23280231762703,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 1}",1
116,False,"{'e': 0.5027665997661179, 'a': 0.9}",35,17,-14.239594297012042,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
117,False,"{'e': 0.49496654305031157, 'a': 0.9}",20,0,-11.283465463511439,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
118,False,"{'e': 0.48712639431514015, 'a': 0.9}",25,2,-108.93409724068337,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 3}",1
119,False,"{'e': 0.47924678860836484, 'a': 0.9}",20,6,-118.7741129005013,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 2}",1
120,False,"{'e': 0.47132836417373997, 'a': 0.9}",25,0,-78.31231883856063,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
121,False,"{'e': 0.4633717623993151, 'a': 0.9}",25,0,-5.2597923977589085,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'e': 0.4553776277654837, 'a': 0.9}",25,15,14.531331643648446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'e': 0.4473466077927801, 'a': 0.9}",25,0,-22.90356631048342,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
124,False,"{'e': 0.43927935298943144, 'a': 0.9}",25,9,-17.608405986469773,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
125,False,"{'e': 0.4311765167986662, 'a': 0.9}",20,0,-40.4306800807065,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
126,False,"{'e': 0.42303875554578513, 'a': 0.9}",25,19,11.909578088953003,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.4148667283850009, 'a': 0.9}",25,4,-55.44252086999017,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
128,False,"{'e': 0.40666109724604504, 'a': 0.9}",25,11,9.395536907899237,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'e': 0.3984225267805538, 'a': 0.9}",30,15,13.049877702587793,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'e': 0.3901516843082303, 'a': 0.9}",25,16,8.262553332564751,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'e': 0.38184923976279245, 'a': 0.9}",25,0,10.598730585611523,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
132,False,"{'e': 0.37351586563770955, 'a': 0.9}",20,14,12.715685860381504,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.365152236931729, 'a': 0.9}",25,11,-35.12736882873415,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'e': 0.3567590310942035, 'a': 0.9}",20,11,12.25425701994938,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'e': 0.348336927970217, 'a': 0.9}",25,8,13.582462812411286,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'e': 0.3398866097455176, 'a': 0.9}",35,0,-2.1054745741394,"{0: 29, 1: 3, 2: 3, 3: 0, 4: 0}",0
137,False,"{'e': 0.3314087608912613, 'a': 0.9}",20,11,-33.4768168206068,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
138,False,"{'e': 0.3229040681085699, 'a': 0.9}",20,13,0.9888134171435956,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'e': 0.314373220272909, 'a': 0.9}",30,15,12.286114101755215,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'e': 0.30581690837828934, 'a': 0.9}",20,12,-41.22496498582876,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
